nombre,popularidad,genero,cantidad_albumes,mejor_pista,album_mejor_pista,año_mejor_pista
Krystian Zimerman,51,classical piano,27,"Piano Concerto in G Major, M. 83: II. Adagio assai",Ravel: Piano Concertos; Valses nobles et sentimentales,1998
Krystian Zimerman,51,classical,27,"Piano Concerto in G Major, M. 83: II. Adagio assai",Ravel: Piano Concertos; Valses nobles et sentimentales,1998
Martin Jones,51,classical,50,"Clair de Lune, L. 32",Debussy: Clair De Lune and Other Piano Favourites,1994
Martin Jones,51,classical piano,50,"Clair de Lune, L. 32",Debussy: Clair De Lune and Other Piano Favourites,1994
Modest Mussorgsky,51,orchestra,50,Memories of a Promenade II,Flying Pictures at an Exhibition,2019
Modest Mussorgsky,51,classical,50,Memories of a Promenade II,Flying Pictures at an Exhibition,2019
Gewandhausorchester,51,classical,50,"Symphony No. 9 in D Minor, Op. 125 ""Choral"": III. Adagio molto e cantabile",Beethoven: Symphony No.9,2011
Gewandhausorchester,51,orchestra,50,"Symphony No. 9 in D Minor, Op. 125 ""Choral"": III. Adagio molto e cantabile",Beethoven: Symphony No.9,2011
Yuja Wang,51,classical piano,25,"Orfeo ed Euridice, Wq. 30: Dance of the Blessed Spirits ""Melody"" (Arr. Sgambati for Piano)",Fantasia,2012
Yuja Wang,51,classical,25,"Orfeo ed Euridice, Wq. 30: Dance of the Blessed Spirits ""Melody"" (Arr. Sgambati for Piano)",Fantasia,2012
Arthur Rubinstein,50,classical piano,50,"Nocturnes, Op. 27: No. 2 in D-Flat Major",Chopin: Nocturnes - Sony Classical Originals,1965
Arthur Rubinstein,50,classical,50,"Nocturnes, Op. 27: No. 2 in D-Flat Major",Chopin: Nocturnes - Sony Classical Originals,1965
Benjamin Grosvenor,51,classical piano,9,"Nocturne No. 19 in E Minor, Op. 72, No. 1",Celebration of Chopin: Encore!,2024
Benjamin Grosvenor,51,classical,9,"Nocturne No. 19 in E Minor, Op. 72, No. 1",Celebration of Chopin: Encore!,2024
Nikolai Lugansky,50,classical piano,44,"Rachmaninov: 10 Preludes, Op. 23: No. 5 in G Minor",Rachmaninov : Preludes Op.23 & Moments musicaux,2001
Nikolai Lugansky,50,classical,44,"Rachmaninov: 10 Preludes, Op. 23: No. 5 in G Minor",Rachmaninov : Preludes Op.23 & Moments musicaux,2001
Staatskapelle Dresden,50,opera,50,Les Contes d'Hoffmann / Act 4: Entr'acte (Barcarolle),Overtures & Intermezzi,1985
Staatskapelle Dresden,50,classical,50,Les Contes d'Hoffmann / Act 4: Entr'acte (Barcarolle),Overtures & Intermezzi,1985
Staatskapelle Dresden,50,orchestra,50,Les Contes d'Hoffmann / Act 4: Entr'acte (Barcarolle),Overtures & Intermezzi,1985
Dame Joan Sutherland,47,opera,50,La traviata / Act 1: Libiamo ne'lieti calici,Verdi: La Traviata,1980
Dame Joan Sutherland,47,classical,50,La traviata / Act 1: Libiamo ne'lieti calici,Verdi: La Traviata,1980
Akira Kosemura,52,japanese classical,30,Fallen Flowers,SEASONS,2023
Akira Kosemura,52,neoclassical,30,Fallen Flowers,SEASONS,2023
Göran Söllscher,48,classical,19,"13 Pieces for Piano, Op. 76: II. Etude",Finlandia: Finland Independence Day,2020
Howard Shelley,49,classical,50,"Piano Concerto No. 21 in C Major, K. 467: II. Andante","Mozart: Piano Concertos, Vol. 6",1995
Howard Shelley,49,classical piano,50,"Piano Concerto No. 21 in C Major, K. 467: II. Andante","Mozart: Piano Concertos, Vol. 6",1995
Carl Philipp Emanuel Bach,50,classical,50,"Solfeggio, H. 220",AMEB Piano For Leisure Series 1 Grade 4,2002
Carl Philipp Emanuel Bach,50,classical piano,50,"Solfeggio, H. 220",AMEB Piano For Leisure Series 1 Grade 4,2002
Jan Lisiecki,50,classical piano,11,"Lieder ohne Worte, Op. 19: No. 6 in G Minor (Andante sostenuto) ""Venetian Gondola Song"", MWV U78",Mendelssohn,2019
Jan Lisiecki,50,classical,11,"Lieder ohne Worte, Op. 19: No. 6 in G Minor (Andante sostenuto) ""Venetian Gondola Song"", MWV U78",Mendelssohn,2019
Peter Cavallo,50,neoclassical,3,Quietly Quietly,Quietly Quietly,2019
Kronos Quartet,50,minimalism,50,Lux Aeterna,Requiem for a Dream / OST,2000
Kronos Quartet,50,avant-garde,50,Lux Aeterna,Requiem for a Dream / OST,2000
Mariano Mores,31,tango,22,Uno,From Argentina To The World,1996
Péter Nagy,50,classical piano,19,"Lieder ohne Worte (Songs without Words), Book 2, Op. 30: No. 7 in E-Flat Major, Op. 30, No. 1","Mendelssohn, Felix: Songs Without Words, Vol. 1",1990
Péter Nagy,50,classical,19,"Lieder ohne Worte (Songs without Words), Book 2, Op. 30: No. 7 in E-Flat Major, Op. 30, No. 1","Mendelssohn, Felix: Songs Without Words, Vol. 1",1990
Valentin Silvestrov,52,classical,45,5 Pieces for Violin and Piano: I. Elegia. Andante larghetto,"Takemitsu, Hindemith, Janáček, Silvestrov: Five Pieces",2011
Luis Berra,50,neoclassical,4,Minor Fable,Minor Fable,2024
Fabio Biondi,48,classical,50,"The Four Seasons, Violin Concerto No. 2 in G Minor, RV 315 ""L'estate"": III. Tempo impetuoso d'estate",Vivaldi: The Four Seasons,1999
Bavarian Radio Symphony Orchestra,50,opera,50,"Piano Concerto in A minor, Op. 16: II. Adagio - Live",Work From Home With Nordic Spirit,2020
Bavarian Radio Symphony Orchestra,50,classical,50,"Piano Concerto in A minor, Op. 16: II. Adagio - Live",Work From Home With Nordic Spirit,2020
Bavarian Radio Symphony Orchestra,50,orchestra,50,"Piano Concerto in A minor, Op. 16: II. Adagio - Live",Work From Home With Nordic Spirit,2020
Mariss Jansons,49,classical,50,"Shostakovich: Suite for Jazz Orchestra No. 2, Op. 50b: No. 2, Waltz","Shostakovich: Symphony No. 11 ""The Year 1905"", Jazz Suites & Tahiti Trot",1997
Mariss Jansons,49,orchestra,50,"Shostakovich: Suite for Jazz Orchestra No. 2, Op. 50b: No. 2, Waltz","Shostakovich: Symphony No. 11 ""The Year 1905"", Jazz Suites & Tahiti Trot",1997
Joaquín Rodrigo,48,classical,50,Rodrigo: Concierto de Aranjuez: II. Adagio,Aranjuez,2020
Oscar Kowalski,52,neoclassical,3,Allée des Pensées,CYMATICS,2024
Giuseppe Sinopoli,48,opera,50,"Nabucco / Act III: Va, pensiero, sull'ali dorate",Verdi: Nabucco,1983
Giuseppe Sinopoli,48,classical,50,"Nabucco / Act III: Va, pensiero, sull'ali dorate",Verdi: Nabucco,1983
Orchestra dell'Accademia Nazionale di Santa Cecilia,48,opera,50,"Respighi: Pini di Roma, P. 141: III. I pini del Gianicolo","Respighi: Fontane di Roma, Pina di Roma, Feste Romane & Il Tramonto",2007
Orchestra dell'Accademia Nazionale di Santa Cecilia,48,classical,50,"Respighi: Pini di Roma, P. 141: III. I pini del Gianicolo","Respighi: Fontane di Roma, Pina di Roma, Feste Romane & Il Tramonto",2007
Benny Andersson,50,swedish ballads,18,"She's My Kind Of Girl - From ""Inga II: The Seduction Of Inga"" Soundtrack",Lycka (Expanded Version),1970
Staatskapelle Berlin,48,classical,50,"Keyboard Concerto No. 5 in F Minor, BWV 1056: II. Largo",Bach: A Strange Beauty,2011
Staatskapelle Berlin,48,orchestra,50,"Keyboard Concerto No. 5 in F Minor, BWV 1056: II. Largo",Bach: A Strange Beauty,2011
Staatskapelle Berlin,48,opera,50,"Keyboard Concerto No. 5 in F Minor, BWV 1056: II. Largo",Bach: A Strange Beauty,2011
Ralph Vaughan Williams,51,classical,50,The Lark Ascending,Vaughan Williams: The Lark Ascending,2013
Dirk Maassen,50,neoclassical,25,To the Sky (Moderate),The Sitting Room Piano (Chapter I),2014
Dirk Maassen,50,minimalism,25,To the Sky (Moderate),The Sitting Room Piano (Chapter I),2014
Fritz Kreisler,49,classical,50,Liebesleid (Love's Sorrow),Rachmaninov: Piano Transcriptions,1999
Julian Lloyd Webber,49,classical,32,Piazzolla: Oblivion,Unexpected Songs,2006
